"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2007","1,508.4","1,545.8","1,545.8","1,506.7","","-2.64%"
"10/31/2007","1,549.4","1,532.2","1,552.8","1,529.4","","1.20%"
"10/30/2007","1,531.0","1,539.4","1,539.4","1,529.6","","-0.65%"
"10/29/2007","1,541.0","1,536.9","1,544.7","1,536.4","","0.37%"
"10/26/2007","1,535.3","1,522.2","1,535.5","1,520.2","","1.38%"
"10/25/2007","1,514.4","1,516.2","1,523.2","1,500.5","","-0.10%"
"10/24/2007","1,515.9","1,516.6","1,517.2","1,489.6","","-0.24%"
"10/23/2007","1,519.6","1,509.3","1,520.0","1,503.6","","0.88%"
"10/22/2007","1,506.3","1,497.8","1,508.1","1,490.4","","0.38%"
"10/19/2007","1,500.6","1,540.0","1,540.0","1,500.3","","-2.56%"
"10/18/2007","1,540.1","1,539.3","1,542.8","1,531.8","","-0.08%"
"10/17/2007","1,541.2","1,544.4","1,550.7","1,526.0","","0.18%"
"10/16/2007","1,538.5","1,547.8","1,547.8","1,536.3","","-0.66%"
"10/15/2007","1,548.7","1,562.3","1,564.7","1,540.8","","-0.84%"
"10/12/2007","1,561.8","1,555.4","1,563.0","1,554.1","","0.48%"
"10/11/2007","1,554.4","1,564.7","1,576.1","1,546.7","","-0.52%"
"10/10/2007","1,562.5","1,565.0","1,565.4","1,555.5","","-0.17%"
"10/09/2007","1,565.2","1,553.2","1,565.3","1,551.8","","0.81%"
"10/08/2007","1,552.6","1,556.5","1,556.5","1,549.0","","-0.32%"
"10/05/2007","1,557.6","1,543.8","1,561.9","1,543.8","","0.96%"
"10/04/2007","1,542.8","1,539.9","1,544.0","1,537.6","","0.21%"
"10/03/2007","1,539.6","1,545.8","1,545.8","1,536.3","","-0.46%"
"10/02/2007","1,546.6","1,547.0","1,548.0","1,540.4","","-0.03%"
"10/01/2007","1,547.0","1,527.3","1,549.0","1,527.3","","0.59%"
"09/28/2007","1,538.0","1,544.0","1,545.5","1,533.0","","0.43%"
"09/27/2007","1,531.4","1,527.3","1,532.5","1,525.8","","0.39%"
"09/26/2007","1,525.4","1,518.6","1,529.4","1,518.6","","0.54%"
"09/25/2007","1,517.2","1,516.3","1,518.3","1,507.1","","-0.03%"
"09/24/2007","1,517.7","1,525.8","1,530.2","1,516.2","","-0.53%"
"09/21/2007","1,525.8","1,518.8","1,530.9","1,518.8","","0.46%"
"09/20/2007","1,518.8","1,528.7","1,529.1","1,516.4","","-0.67%"
"09/19/2007","1,529.0","1,519.8","1,538.7","1,519.8","","0.61%"
"09/18/2007","1,519.8","1,476.6","1,519.9","1,476.6","","2.92%"
"09/17/2007","1,476.7","1,484.2","1,484.2","1,471.8","","-0.51%"
"09/14/2007","1,484.3","1,483.9","1,486.0","1,473.2","","0.02%"
"09/13/2007","1,483.9","1,471.5","1,489.6","1,471.5","","0.84%"
"09/12/2007","1,471.6","1,471.1","1,479.5","1,465.8","","0.00%"
"09/11/2007","1,471.5","1,451.7","1,472.5","1,451.7","","1.36%"
"09/10/2007","1,451.7","1,453.5","1,462.3","1,439.3","","-0.13%"
"09/07/2007","1,453.6","1,478.6","1,478.6","1,449.1","","-1.69%"
"09/06/2007","1,478.6","1,472.0","1,481.5","1,467.4","","0.43%"
"09/05/2007","1,472.3","1,488.8","1,488.8","1,466.3","","-1.15%"
"09/04/2007","1,489.4","1,474.0","1,496.4","1,472.2","","1.05%"
"08/31/2007","1,474.0","1,457.6","1,481.5","1,457.6","","1.12%"
"08/30/2007","1,457.6","1,463.7","1,468.4","1,451.3","","-0.42%"
"08/29/2007","1,463.8","1,432.0","1,463.8","1,432.0","","2.19%"
"08/28/2007","1,432.4","1,466.7","1,466.7","1,432.0","","-2.35%"
"08/27/2007","1,466.8","1,479.4","1,479.4","1,466.0","","-0.85%"
"08/24/2007","1,479.4","1,462.3","1,479.4","1,460.5","","1.15%"
"08/23/2007","1,462.5","1,464.1","1,472.1","1,453.9","","-0.11%"
"08/22/2007","1,464.1","1,447.0","1,464.9","1,447.0","","1.17%"
"08/21/2007","1,447.1","1,445.6","1,455.3","1,439.8","","0.11%"
"08/20/2007","1,445.6","1,445.9","1,451.8","1,430.5","","-0.03%"
"08/17/2007","1,445.9","1,411.3","1,450.3","1,411.3","","2.46%"
"08/16/2007","1,411.3","1,406.6","1,416.0","1,370.6","","0.32%"
"08/15/2007","1,406.7","1,426.2","1,440.8","1,404.4","","-1.39%"
"08/14/2007","1,426.5","1,452.9","1,456.7","1,426.2","","-1.82%"
"08/13/2007","1,452.9","1,453.4","1,466.3","1,451.5","","-0.05%"
"08/10/2007","1,453.6","1,453.1","1,462.0","1,429.7","","0.04%"
"08/09/2007","1,453.1","1,497.2","1,497.2","1,453.1","","-2.96%"
"08/08/2007","1,497.5","1,476.2","1,503.9","1,476.2","","1.41%"
"08/07/2007","1,476.7","1,467.6","1,488.3","1,455.8","","0.62%"
"08/06/2007","1,467.7","1,433.0","1,467.7","1,427.4","","2.42%"
"08/03/2007","1,433.1","1,472.2","1,473.2","1,432.8","","-2.66%"
"08/02/2007","1,472.2","1,465.5","1,476.4","1,460.6","","0.44%"
"08/01/2007","1,465.8","1,455.2","1,468.4","1,439.6","","0.72%"
"07/31/2007","1,455.3","1,473.9","1,488.3","1,454.3","","-1.26%"
"07/30/2007","1,473.9","1,458.9","1,477.9","1,454.3","","1.03%"
"07/27/2007","1,458.9","1,482.4","1,488.5","1,458.9","","-1.60%"
"07/26/2007","1,482.7","1,518.1","1,518.1","1,465.3","","-2.33%"
"07/25/2007","1,518.1","1,511.0","1,524.3","1,503.7","","0.47%"
"07/24/2007","1,511.0","1,541.6","1,541.6","1,508.6","","-1.98%"
"07/23/2007","1,541.6","1,534.1","1,547.2","1,534.1","","0.49%"
"07/20/2007","1,534.1","1,553.2","1,553.2","1,529.2","","-1.22%"
"07/19/2007","1,553.1","1,546.1","1,555.2","1,546.1","","0.45%"
"07/18/2007","1,546.2","1,549.2","1,549.2","1,533.7","","-0.21%"
"07/17/2007","1,549.4","1,549.5","1,555.3","1,547.7","","-0.01%"
"07/16/2007","1,549.5","1,552.5","1,555.9","1,546.7","","-0.19%"
"07/13/2007","1,552.5","1,547.7","1,555.1","1,544.8","","0.31%"
"07/12/2007","1,547.7","1,518.7","1,547.9","1,518.7","","1.91%"
"07/11/2007","1,518.8","1,509.9","1,519.3","1,506.1","","0.57%"
"07/10/2007","1,510.1","1,531.8","1,531.8","1,510.0","","-1.42%"
"07/09/2007","1,531.8","1,530.4","1,534.3","1,527.4","","0.09%"
"07/06/2007","1,530.4","1,525.0","1,532.4","1,520.5","","0.33%"
"07/05/2007","1,525.4","1,524.9","1,526.6","1,517.7","","0.03%"
"07/03/2007","1,524.9","1,519.1","1,526.0","1,519.1","","0.36%"
"07/02/2007","1,519.4","1,504.7","1,519.4","1,504.7","","1.07%"
"06/29/2007","1,503.3","1,505.7","1,517.5","1,493.6","","-0.16%"
"06/28/2007","1,505.7","1,506.3","1,514.8","1,503.4","","-0.04%"
"06/27/2007","1,506.3","1,492.6","1,506.8","1,484.2","","0.90%"
"06/26/2007","1,492.9","1,497.7","1,506.1","1,490.5","","-0.32%"
"06/25/2007","1,497.7","1,502.6","1,514.3","1,492.7","","-0.32%"
"06/22/2007","1,502.6","1,522.2","1,522.2","1,500.7","","-1.29%"
"06/21/2007","1,522.2","1,512.5","1,522.9","1,504.8","","0.62%"
"06/20/2007","1,512.8","1,533.7","1,537.3","1,512.4","","-1.36%"
"06/19/2007","1,533.7","1,531.0","1,535.8","1,525.7","","0.17%"
"06/18/2007","1,531.1","1,532.9","1,535.4","1,529.3","","-0.12%"
"06/15/2007","1,532.9","1,523.0","1,538.7","1,523.0","","0.65%"
"06/14/2007","1,523.0","1,515.6","1,526.4","1,515.6","","0.48%"
"06/13/2007","1,515.7","1,492.7","1,515.7","1,492.7","","1.52%"
"06/12/2007","1,493.0","1,509.1","1,511.3","1,493.0","","-1.07%"
"06/11/2007","1,509.1","1,507.6","1,515.5","1,503.3","","0.10%"
"06/08/2007","1,507.7","1,490.7","1,507.8","1,487.4","","1.14%"
"06/07/2007","1,490.7","1,517.4","1,517.4","1,490.4","","-1.76%"
"06/06/2007","1,517.4","1,530.6","1,530.6","1,514.1","","-0.89%"
"06/05/2007","1,530.9","1,539.1","1,539.1","1,525.6","","-0.53%"
"06/04/2007","1,539.2","1,536.3","1,540.5","1,532.3","","0.18%"
"06/01/2007","1,536.3","1,530.6","1,540.6","1,530.6","","0.37%"
"05/31/2007","1,530.6","1,530.2","1,535.6","1,528.3","","0.03%"
"05/30/2007","1,530.2","1,517.6","1,530.2","1,510.1","","0.80%"
"05/29/2007","1,518.1","1,515.6","1,521.8","1,512.0","","0.16%"
"05/25/2007","1,515.7","1,507.5","1,517.4","1,507.5","","0.55%"
"05/24/2007","1,507.5","1,522.1","1,529.3","1,505.2","","-0.97%"
"05/23/2007","1,522.3","1,524.1","1,532.4","1,521.9","","-0.12%"
"05/22/2007","1,524.1","1,525.1","1,529.2","1,522.1","","-0.06%"
"05/21/2007","1,525.1","1,522.8","1,529.9","1,522.7","","0.15%"
"05/18/2007","1,522.8","1,512.7","1,522.8","1,512.7","","0.66%"
"05/17/2007","1,512.8","1,514.0","1,517.1","1,509.3","","-0.09%"
"05/16/2007","1,514.1","1,500.8","1,514.2","1,500.8","","0.86%"
"05/15/2007","1,501.2","1,503.1","1,514.8","1,500.4","","-0.13%"
"05/14/2007","1,503.2","1,505.8","1,510.9","1,498.3","","-0.18%"
"05/11/2007","1,505.8","1,491.5","1,506.2","1,491.5","","0.96%"
"05/10/2007","1,491.5","1,512.3","1,512.3","1,491.4","","-1.40%"
"05/09/2007","1,512.6","1,507.3","1,513.8","1,503.8","","0.32%"
"05/08/2007","1,507.7","1,509.4","1,509.4","1,500.7","","-0.12%"
"05/07/2007","1,509.5","1,505.6","1,511.0","1,505.5","","0.26%"
"05/04/2007","1,505.6","1,502.3","1,510.3","1,501.8","","0.21%"
